                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.99635,                 2.4916,                 1.1372,                0.95384,                 2.8637,                 1.0805,                0.02756,                0.58075,                0.08032,                0.06161,                0.93824,                  2.947,                 1.0153,                0.80421,                 3.7723,                0.97442,              0.0003334,              0.0003334,              0.0003334
                      2,                0.97761,                 1.2658,                 1.0723,                0.97433,                  1.983,                 1.0218,                0.02468,                0.68703,                 0.2158,                0.14937,                0.96233,                 2.2568,                 1.1204,                0.85819,                 3.5501,                 1.0267,              0.0006564,              0.0006564,              0.0006564
                      3,                0.93283,                 1.0306,                 1.0492,                0.96181,                 1.7336,                 1.0245,                0.58046,                 0.3283,                0.42511,                0.29903,                0.89535,                  2.016,                 1.0198,                0.85874,                 3.1933,                0.96826,             0.00095168,             0.00095168,             0.00095168
                      4,                0.93298,                0.94418,                 1.0485,                0.97994,                 1.5025,                  1.033,                 0.4719,                0.11331,                0.26171,                0.18304,                  1.259,                 2.3805,                 1.2914,                  1.332,                 3.3011,                 1.3269,              0.0012192,              0.0012192,              0.0012192
                      5,                 0.9167,                0.92502,                 1.0472,                0.96929,                 1.3991,                 1.0289,                0.43955,                0.48411,                0.45249,                0.33191,                 0.9178,                 1.2632,                 1.0418,                0.91306,                 1.9496,                 1.0065,              0.0014029,              0.0014029,              0.0014029
                      6,                0.94572,                0.93581,                 1.0627,                   1.01,                 1.3324,                 1.0477,                0.42806,                0.52512,                0.42429,                0.30864,                0.97246,                 1.6459,                  1.088,                0.95945,                 2.0471,                 1.0534,              0.0014029,              0.0014029,              0.0014029
                      7,                0.93242,                0.91144,                 1.0546,                0.98578,                 1.2504,                 1.0364,                0.50969,                0.68459,                0.54336,                0.40388,                0.89192,                  1.595,                 1.0384,                 0.9257,                  1.744,                 1.0373,              0.0013369,              0.0013369,              0.0013369
                      8,                 0.9219,                0.90869,                 1.0522,                0.97501,                 1.1911,                 1.0341,                0.44885,                0.64396,                0.42713,                0.30837,                0.96307,                 2.6586,                   1.07,                0.96825,                 2.2092,                 1.0399,              0.0012709,              0.0012709,              0.0012709
                      9,                0.89991,                0.81943,                 1.0383,                0.95602,                 1.0564,                 1.0229,                0.52129,                0.61029,                0.54739,                0.40671,                0.87997,                 1.0041,                 1.0166,                0.89738,                 1.3233,                 1.0189,              0.0012049,              0.0012049,              0.0012049
                     10,                0.91403,                0.85625,                 1.0525,                0.97485,                  1.074,                 1.0367,                0.59951,                0.68867,                0.62356,                 0.4751,                0.86001,                0.91609,                  1.009,                0.87889,                 1.1194,                0.98496,              0.0011389,              0.0011389,              0.0011389
                     11,                0.87441,                0.79414,                  1.023,                0.93599,                0.98216,                 1.0096,                0.67837,                0.67585,                 0.6916,                0.52851,                0.83067,                0.79729,                 1.0026,                0.86234,                 0.9996,                0.98709,              0.0010729,              0.0010729,              0.0010729
                     12,                0.86947,                0.76424,                  1.028,                0.93369,                0.92308,                  1.014,                0.69628,                0.72068,                0.71845,                0.54147,                0.83875,                 0.7713,                 1.0044,                 0.8711,                0.92999,                0.98685,              0.0010069,              0.0010069,              0.0010069
                     13,                0.87109,                0.74422,                 1.0289,                0.93173,                0.89327,                 1.0166,                0.66403,                0.66323,                0.67286,                0.51607,                0.83031,                 0.7453,                 0.9914,                0.86032,                0.94447,                0.97677,             0.00094085,             0.00094085,             0.00094085
                     14,                0.85575,                0.75605,                 1.0199,                0.91257,                0.88779,                 1.0024,                0.69398,                0.68569,                0.73901,                0.55857,                0.81827,                0.69357,                 0.9846,                0.83979,                0.83181,                0.97377,             0.00087484,             0.00087484,             0.00087484
                     15,                0.84103,                0.71722,                 1.0214,                0.89561,                0.82803,                 1.0076,                0.65318,                0.76235,                 0.7236,                0.56218,                 0.8025,                0.67744,                  0.979,                 0.8266,                 0.7733,                0.97172,             0.00080883,             0.00080883,             0.00080883
                     16,                0.80645,                0.71839,                0.99994,                0.84029,                0.81568,                0.99447,                0.66204,                0.65462,                0.68101,                0.51977,                0.83657,                0.70621,                0.99855,                0.86059,                0.78317,                0.98699,             0.00074282,             0.00074282,             0.00074282
                     17,                0.80582,                0.69022,                0.99331,                0.84254,                0.77307,                0.97915,                0.61715,                0.70787,                0.63621,                  0.487,                0.81126,                0.90459,                0.98439,                0.84022,                0.97941,                0.97632,              0.0006768,              0.0006768,              0.0006768
                     18,                0.79502,                0.67452,                0.98626,                  0.828,                0.75087,                0.97157,                0.73441,                0.68941,                0.75061,                 0.5818,                0.78853,                0.63737,                0.97746,                 0.8165,                0.68101,                0.96879,             0.00061079,             0.00061079,             0.00061079
                     19,                0.77832,                0.62727,                0.97465,                0.80697,                0.68214,                0.96303,                0.57755,                0.75163,                0.64427,                0.50438,                0.79659,                0.89511,                 0.9769,                0.82551,                0.97823,                0.96953,             0.00054478,             0.00054478,             0.00054478
                     20,                0.76956,                 0.6366,                0.97082,                0.80232,                0.67761,                0.95854,                0.63488,                0.77257,                0.71177,                0.55214,                0.79329,                0.67479,                0.97452,                0.81796,                0.72267,                0.96737,             0.00047876,             0.00047876,             0.00047876
                     21,                0.76954,                0.59333,                0.97859,                0.79488,                0.63192,                0.96325,                0.75937,                0.76299,                 0.8103,                0.63241,                0.77548,                0.60127,                0.96426,                0.79788,                0.63051,                0.95104,             0.00041275,             0.00041275,             0.00041275
                     22,                0.76074,                0.60386,                0.97374,                 0.7914,                 0.6489,                0.96301,                0.73518,                0.69536,                0.73233,                 0.5768,                0.76848,                0.66124,                0.96554,                0.78511,                0.69743,                0.95238,             0.00034674,             0.00034674,             0.00034674
                     23,                0.73998,                0.56281,                0.96269,                0.76723,                0.59596,                0.94806,                0.67914,                0.81886,                0.77588,                0.61163,                0.75813,                0.62677,                0.95652,                0.77399,                0.64511,                0.94373,             0.00028072,             0.00028072,             0.00028072
                     24,                0.73357,                 0.5757,                0.96911,                0.75629,                 0.6049,                0.96017,                0.75494,                0.74007,                0.78159,                0.62392,                0.74933,                0.57942,                0.95126,                0.76644,                0.60394,                0.93784,             0.00021471,             0.00021471,             0.00021471
                     25,                0.72128,                0.53132,                0.95619,                0.74549,                 0.5579,                0.94524,                0.71568,                0.76636,                0.77022,                0.61246,                0.75224,                0.58383,                0.95255,                0.77014,                0.61773,                 0.9399,              0.0001487,              0.0001487,              0.0001487
